,0
0,36.0
1,48.0
2,108.0
3,168.0
4,228.0
5,252.0
6,252.0
7,252.0
8,252.0
9,252.0
10,252.0
11,252.0
12,252.0
13,252.0
14,252.0
15,252.0
16,252.0
17,252.0
18,252.0
19,252.0
20,252.0
21,252.0
22,252.0
23,252.0
24,276.0
25,276.0
26,276.0
27,276.0
28,276.0
29,276.0
30,276.0
31,276.0
32,276.0
33,276.0
34,276.0
35,276.0
36,276.0
37,276.0
38,276.0
39,276.0
40,276.0
41,276.0
42,276.0
43,276.0
44,276.0
45,276.0
46,276.0
47,276.0
48,276.0
49,276.0
50,276.0
51,276.0
52,276.0
53,276.0
54,276.0
55,276.0
56,276.0
57,276.0
58,276.0
59,276.0
60,276.0
61,276.0
62,276.0
63,276.0
64,276.0
65,276.0
66,276.0
67,276.0
68,276.0
69,276.0
70,276.0
71,276.0
72,276.0
73,276.0
74,276.0
75,276.0
76,276.0
77,276.0
78,276.0
79,276.0
80,276.0
81,276.0
82,276.0
83,276.0
84,276.0
85,276.0
86,276.0
87,276.0
88,276.0
89,276.0
90,276.0
91,276.0
92,276.0
93,276.0
94,276.0
95,276.0
96,276.0
97,276.0
98,276.0
99,276.0
